"","Start","API","Date_num","Paddy","ACC1","Cumul_since_last","max_EI30_since_last_event","Sum_EC_since_last_event","Microplot","Ruiss","Plot","Plot2","Treatment","Replicate","Coeff","Cumul_corr","Year","Crop","bad_data","Tot_Detachment"
"433",2017-09-18,22.5141420045358,17427,34.3,43.8,37.036,406.588176357015,69.8699746675068,"OR2-H1",11.678519084802,"OR2","OR2","H","1",NA,34.3,"17","OR","ok",NA
"437",2017-09-26,4.46450822793547,17435,6.5,0,6.304,64.315648480686,20.4796208629125,"OR2-H1",0.44477485373995,"OR2","OR2","H","1",NA,6.5,"17","OR","ok",NA
"442",2017-09-29,16.3990790207214,17438,16.4,25.1,16.745,136.713252883056,30.0223538326615,"OR2-H1",4.1105571777671,"OR2","OR2","H","1",NA,16.4,"17","OR","ok",NA
"448",2017-10-05,3.07025340762144,17444,14.9,11.4,10.835,106.469657675903,38.3894252551914,"OR2-H1",4.5062819439308,"OR2","OR2","H","1",NA,14.9,"17","OR","ok",NA
"460",2017-10-11,21.8366393788541,17450,26,39.5,44.719,1223.40669933755,32.1663511169301,"OR2-H1",17.638722516325,"OR2","OR2","H","1",NA,26,"17","OR","ok",NA
"472",2017-10-16,44.3711455965452,17455,48,42.9,49.447,387.787840559765,41.1135117509194,"OR2-H1",42.175539370688,"OR2","OR2","H","1",NA,48,"17","OR","ok",NA
"474",2017-10-23,3.79748128304747,17462,2.1,1.5,2.561,51.3442822890529,10.8596197734883,"OR2-H1",0.05,"OR2","OR2","H","1",NA,2.1,"17","OR","ok",NA
"477",2017-10-24,3.50478479242335,17463,20.4,23,16.154,168.326766650481,24.0778324010841,"OR2-H1",6.4497766009473,"OR2","OR2","H","1",NA,20.4,"17","OR","ok",NA
"491",2017-11-22,0.0527909835895492,17492,13.9,13.7,13.396,350.656424102899,27.047851356005,"OR2-H1",0.40299355894562,"OR2","OR2","H","1",NA,13.9,"17","OR","ok",NA
"493",2017-11-24,5.10743833208634,17494,1,0,0.985,1.22800176759029,1.55837787765265,"OR2-H1",0,"OR2","OR2","H","1",NA,1,"17","OR","ok",NA
"501",2017-11-25,5.73523639594363,17495,3.7,2.5,2.758,1.22800176759029,3.11675575530531,"OR2-H1",0,"OR2","OR2","H","1",NA,3.7,"17","OR","ok",NA
"529",2017-12-10,8.57760455394926,17510,16.2,12.1,16.745,184.583444960256,27.5825076799752,"OR2-H1",0.69616444018004,"OR2","OR2","H","1",NA,16.2,"17","OR","ok",NA
"547",2017-12-28,25.4560081193659,17528,37.2,38.4,30.535,45.1079820778386,25.5426740194563,"OR2-H1",5.6919679982262,"OR2","OR2","H","1",NA,37.2,"17","OR","ok",NA
"560",2017-12-30,13.4279131594378,17530,1.2,1.7,5.319,64.315648480686,11.6598347499431,"OR2-H1",0.31951538193924,"OR2","OR2","H","1",NA,1.2,"17","OR","ok",NA
"564",2017-12-31,10.4619843270961,17531,2.7,3.5,3.349,39.0578753775555,15.0697557553053,"OR2-H1",0.44477485373995,"OR2","OR2","H","1",NA,2.7,"17","OR","ok",NA
"579",2018-01-06,1.5844661848669,17537,2.9,2.6,2.955,0,0.51783758674583,"OR2-H1",0.14,"OR2","OR2","H","1",NA,2.9,"18","OR","ok",NA
"583",2018-01-07,1.55746742011379,17538,1.6,1,0.788,0,0.15933464207564,"OR2-H1",0,"OR2","OR2","H","1",NA,1.6,"18","OR","ok",NA
"594",2018-02-23,9.99641051064049,17585,12.3,11.9,14.381,287.320691800684,25.0079277860489,"OR2-H1",0.40299355894562,"OR2","OR2","H","1",NA,12.3,"18","OR","ok",NA
"599",2018-02-24,12.7203964905249,17586,8.7,8.1,7.289,113.88874363351,21.9457777627639,"OR2-H1",0.2778149077139,"OR2","OR2","H","1",NA,8.7,"18","OR","ok",NA
"602",2018-02-27,25.2948486708326,17589,32.5,25.9,23.64,1012.69185783546,22.6260173485438,"OR2-H1",3.1563297118487,"OR2","OR2","H","1",NA,32.5,"18","OR","ok",NA
"604",2018-03-09,8.13994136050107,17599,11.7,9.9,11.426,269.64712919339,28.3847206454289,"OR2-H1",0.44477485373995,"OR2","OR2","H","1",NA,11.7,"18","OR","ok",NA
"605",2018-03-10,6.80106621581751,17600,1.7,2.8,1.97,33.2126411363539,9.36622705480934,"OR2-H1",0,"OR2","OR2","H","1",NA,1.7,"18","OR","ok",NA
"607",2018-03-12,2.55626758508252,17602,7.3,8.6,6.501,201.113032574513,15.9910576908578,"OR2-H1",0.52843073028599,"OR2","OR2","H","1",NA,7.3,"18","OR","ok",NA
"609",2018-03-18,0.63577757016165,17608,9.1,8,9.456,226.382316978943,22.7313664749094,"OR2-H1",0.40299355894562,"OR2","OR2","H","1",NA,9.1,"18","OR","ok",NA
"610",2018-03-26,0.201429060639507,17616,6.3,5.6,4.728,106.469657675903,13.5113778776527,"OR2-H1",0.19,"OR2","OR2","H","1",NA,6.3,"18","OR","ok",NA
"617",2018-03-31,0.673957122421463,17621,8.7,8.5,1.97,0,1.79737984076611,"OR2-H1",0.11122787508139,"OR2","OR2","H","1",NA,8.7,"18","OR","ok",NA
"621",2018-03-31,1.8862739838138,17621,20.3,16.4,5.516,17.1659690682889,7.38090921687351,"OR2-H1",0.69616444018004,"OR2","OR2","H","1",NA,20.3,"18","OR","ok",NA
"624",2018-04-04,9.57537829293096,17625,37.2,36.4,15.76,39.0578753775555,9.99283366051891,"OR2-H1",3.2029124351406,"OR2","OR2","H","1",NA,37.2,"18","OR","ok",NA
"626",2018-04-07,20.0606287748416,17628,26.5,13.9,24.0339999999999,57.7512221580353,9.31375430594784,"OR2-H1",3.0172561477473,"OR2","OR2","H","1",NA,26.5,"18","OR","ok",NA
"632",2018-04-12,1.61726434618317,17633,39.2,23.7,NA,NA,NA,"OR2-H1",2.8333642351293,"OR2","OR2","H","1",NA,39.2,"18","OR","ok",NA
"634",2018-04-20,0.132644646191438,17641,62.7,46.4,37.036,27.5951326069947,9.03363657762816,"OR2-H1",4.4365617822348,"OR2","OR2","H","1",NA,62.7,"18","OR","ok",NA
"642",2018-04-25,5.50216671927695,17646,9.2,6.5,2.167,0,1.83721350128503,"OR2-H1",0.69616444018004,"OR2","OR2","H","1",NA,9.2,"18","OR","ok",NA
"654",2018-04-27,3.4394924247634,17648,14.1,14.2,12.805,22.2339568180658,10.0183376946133,"OR2-H1",1.1611183938209,"OR2","OR2","H","1",NA,14.1,"18","OR","ok",NA
"656",2018-04-28,9.08700372098597,17649,3.9,4.7,2.955,1.22800176759029,1.59821153817156,"OR2-H1",0.1,"OR2","OR2","H","1",NA,3.9,"18","OR","ok",NA
"677",2018-05-04,35.940417200117,17655,71.1,69.6,55.1599999999999,416.044472679179,44.7444763432223,"OR2-H1",5.323395553278,"OR2","OR2","H","1",NA,71.1,"18","OR","ok",NA
"679",2018-05-05,25.1681413867081,17656,5.6,1,5.319,51.3442822890529,12.417997651141,"OR2-H1",0.40299355894562,"OR2","OR2","H","1",NA,5.6,"18","OR","ok",NA
"683",2018-05-07,16.7176089593617,17658,43.1,19.3,7.092,77.873390750623,30.5390256599461,"OR2-H1",6.285058507346,"OR2","OR2","H","1",NA,43.1,"18","OR","ok",NA
"689",2018-05-13,23.4384847870347,17664,6.4,7.3,26.0039999999999,192.815244301084,15.9855809684767,"OR2-H1",0.44477485373995,"OR2","OR2","H","1",NA,6.4,"18","OR","ok",NA
"691",2018-05-15,8.13891801406411,17666,19.8,15.7,9.259,17.1659690682889,7.30124189583569,"OR2-H1",2.6965661612736,"OR2","OR2","H","1",NA,19.8,"18","OR","ok",NA
"692",2018-05-15,13.0426746177695,17666,6.5,5,6.107,39.0578753775555,9.91316633948109,"OR2-H1",0.44477485373995,"OR2","OR2","H","1",NA,6.5,"18","OR","ok",NA
"694",2018-05-17,27.0326399434543,17668,20.6,18.9,16.548,387.787840559765,22.2336325059645,"OR2-H1",2.2471299188825,"OR2","OR2","H","1",NA,20.6,"18","OR","ok",NA
"695",2018-05-19,10.3922045959194,17670,4.4,4,3.94,33.2126411363539,9.36622705480934,"OR2-H1",0.11122787508139,"OR2","OR2","H","1",NA,4.4,"18","OR","ok",NA
"696",2018-05-21,4.654601485255,17672,6.7,0,3.152,77.873390750623,12.3530124921674,"OR2-H1",0.61222265758496,"OR2","OR2","H","1",NA,6.7,"18","OR","ok",NA
"698",2018-05-24,29.6030254798034,17675,32.1,44.1,32.899,581.926143560739,31.5075957161056,"OR2-H1",3.9642900878978,"OR2","OR2","H","1",NA,32.1,"18","OR","ok",NA
