Slice	Date	Plot	Treatment	Replicate	Microplot	Date2	Area	ok
2017-05	21/05/17	OR2	H	3	OR2-H3	(21-05-17)	6.851	
2017-05	21/05/17	OR2	NH	1	OR2-NH1	(21-05-17)	33.932	
2017-05	21/05/17	OR2	NH	2	OR2-NH2	(21-05-17)	27.392	
2017-05	21/05/17	OR2	NH	3	OR2-NH3	(21-05-17)	4.617	
2017-05	26/05/17	OR2	H	1	OR2-H1	(26-05-17)	28.050	
2017-05	26/05/17	OR2	H	2	OR2-H2	(26-05-17)	11.069	
2017-05	26/05/17	OR2	H	3	OR2-H3	(26-05-17)	11.441	
2017-05	26/05/17	OR2	NH	1	OR2-NH1	(26-05-17)	36.120	
2017-05	26/05/17	OR2	NH	2	OR2-NH2	(26-05-17)	29.900	
2017-05	26/05/17	OR2	NH	3	OR2-NH3	(26-05-17)	6.889	
2017-06	01/06/17	OR2	H	1	OR2-H1	(01-06-17)	33.336	
2017-06	01/06/17	OR2	H	2	OR2-H2	(01-06-17)	13.122	
2017-06	01/06/17	OR2	H	3	OR2-H3	(01-06-17)	18.319	
2017-06	01/06/17	OR2	NH	1	OR2-NH1	(01-06-17)	42.823	
2017-06	01/06/17	OR2	NH	2	OR2-NH2	(01-06-17)	36.346	
2017-06	01/06/17	OR2	NH	3	OR2-NH3	(01-06-17)	11.831	
2017-06	04/06/17	OR2	H	1	OR2-H1	(04-06-17)	34.956	
2017-06	04/06/17	OR2	H	2	OR2-H2	(04-06-17)	13.156	
2017-06	04/06/17	OR2	H	3	OR2-H3	(04-06-17)	21.082	
2017-06	04/06/17	OR2	NH	1	OR2-NH1	(04-06-17)	43.372	
2017-06	04/06/17	OR2	NH	2	OR2-NH2	(04-06-17)	39.365	
2017-06	04/06/17	OR2	NH	3	OR2-NH3	(04-06-17)	9.875	
2017-06	11/06/17	OR2	H	1	OR2-H1	(11-06-17)	32.966	
2017-06	11/06/17	OR2	H	2	OR2-H2	(11-06-17)	10.090	
2017-06	11/06/17	OR2	H	3	OR2-H3	(11-06-17)	20.252	
2017-06	11/06/17	OR2	NH	1	OR2-NH1	(11-06-17)	44.020	
2017-06	11/06/17	OR2	NH	2	OR2-NH2	(11-06-17)	35.984	
2017-06	11/06/17	OR2	NH	3	OR2-NH3	(11-06-17)	11.918	
2017-06	13/06/17	OR2	H	1	OR2-H1	(13-06-17)	35.377	
2017-06	13/06/17	OR2	H	2	OR2-H2	(13-06-17)	12.954	
2017-06	13/06/17	OR2	H	3	OR2-H3	(13-06-17)	22.002	
